Bot,Domain,Class,Feature Group,Relation,Description,Notes,Comment,Code,
Ada,Health,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,new subclass,,o,
Ada,Health,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,new subclass,,o,
Ada,Health,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,new subclass,,o,
Ada,Health,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,new subclass,,o,
Ada,Health,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",new subclass,,o,
Ada,Health,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,new subclass,,o,
Ada,Health,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,new subclass,,o,
Ada,Health,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,new subclass,,o,
Ada,Health,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",Quick Replies,,o,
Ada,Health,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,,o,
Ada,Health,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,definiton adapted (widened),,o,
Ada,Health,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,o,
Ada,Health,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Ada,Health,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",new class,,o,
Ada,Health,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Ada,Health,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,"restart conversation entirely in case of breakdown 
Description taken from (Traubinger et al. 2025)",,o,
Ada,Health,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",Description taken from (Traubinger et al. 2025),,o,
Ada,Health,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.","new class, to be refined/split after collection of instances",,o,
Ada,Health,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",new class,,o,
Ada,Health,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",new class,,o,
Ada,Health,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,New class only seen in ChatGPT (webview) so far,"Edge case: when asked for symptom, a larger window opens that lets you search for symptoms, which has an autocomplete option.",o,
Ada,Health,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",default is text,,x,
Ada,Health,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,actionable suggestions for user chat messages,,x,
Ada,Health,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,x,
Ada,Health,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,definiton adapted (widened),,x,
Ada,Health,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,x,
Ada,Health,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.","includes disclaimers
Description taken from (Traubinger et al. 2025)",,x,
Ada,Health,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",new class,,x,
characterAI,Social Companion,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
characterAI,Social Companion,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,o,
